Name,Quantity ,Cost,Link
NT3H2111W0FHKH,5,$0.87,https://jlcpcb.com/partdetail/NxpSemicon-NT3H2111W0FHKH/C710403
KT-0805Y,5,$0.03,https://jlcpcb.com/partdetail/Hubei_KentoElec-17_21SUYCTR8/C2296
0603WAF470JT5E,5,$0.01,https://jlcpcb.com/partdetail/23909-0603WAF470JT5E/C23182
CL10B224KA8NNNC,5,$0.01,"
https://jlcpcb.com/partdetail/21832-CL10B224KA8NNNC/C21120"
PCB,5,$2(After applying the coupon given by highway),
